"yearid","name","num_wins","total_salaries","win_rank","salary_rank"
2009,"Kansas City Royals","65","$70,519,333.00","26","21"
2009,"Cleveland Indians","65","$81,579,166.00","26","15"
2009,"Baltimore Orioles","64","$67,101,666.00","28","23"
2009,"Pittsburgh Pirates","62","$48,693,000.00","29","28"
2009,"Washington Nationals","59","$59,928,000.00","30","27"
2010,"Philadelphia Phillies","97","$141,928,379.00","1","4"
2010,"Tampa Bay Rays","96","$71,923,471.00","2","19"
2010,"New York Yankees","95","$206,333,389.00","3","1"
2010,"Minnesota Twins","94","$97,559,166.00","4","10"
2010,"San Francisco Giants","92","$98,641,333.00","5","9"
2010,"Atlanta Braves","91","$84,423,666.00","6","15"
2010,"Cincinnati Reds","91","$71,761,542.00","6","20"
2010,"Texas Rangers","90","$55,250,544.00","8","28"
2010,"San Diego Padres","90","$37,799,300.00","8","29"
2010,"Boston Red Sox","89","$162,447,333.00","10","2"
2010,"Chicago White Sox","88","$105,530,000.00","11","7"
2010,"St. Louis Cardinals","86","$93,540,751.00","12","12"
2010,"Toronto Blue Jays","85","$62,234,000.00","13","22"
2010,"Colorado Rockies","83","$84,227,000.00","14","16"
2010,"Detroit Tigers","81","$122,864,928.00","15","6"
2010,"Oakland Athletics","81","$55,254,900.00","15","27"
2010,"Florida Marlins","80","$57,029,719.00","17","26"
2010,"Los Angeles Angels of Anaheim","80","$104,963,866.00","17","8"
2010,"Los Angeles Dodgers","80","$95,358,016.00","17","11"
2010,"New York Mets","79","$134,422,942.00","20","5"
2010,"Milwaukee Brewers","77","$81,108,278.00","21","18"
2010,"Houston Astros","76","$92,355,500.00","22","13"
2010,"Chicago Cubs","75","$146,609,000.00","23","3"
2010,"Washington Nationals","69","$61,400,000.00","24","23"
2010,"Cleveland Indians","69","$61,203,966.00","24","24"
2010,"Kansas City Royals","67","$71,405,210.00","26","21"
2010,"Baltimore Orioles","66","$81,612,500.00","27","17"
2010,"Arizona Diamondbacks","65","$60,718,166.00","28","25"
2010,"Seattle Mariners","61","$86,510,000.00","29","14"
2010,"Pittsburgh Pirates","57","$34,943,000.00","30","30"
2011,"Philadelphia Phillies","102","$172,976,379.00","1","2"
2011,"New York Yankees","97","$202,275,028.00","2","1"
2011,"Milwaukee Brewers","96","$85,497,333.00","3","17"
2011,"Texas Rangers","96","$92,299,264.00","3","13"
2011,"Detroit Tigers","95","$105,700,231.00","5","10"
2011,"Arizona Diamondbacks","94","$53,639,833.00","6","25"
2011,"Tampa Bay Rays","91","$41,053,571.00","7","29"
2011,"Boston Red Sox","90","$161,762,475.00","8","3"
2011,"St. Louis Cardinals","90","$105,433,572.00","8","11"
2011,"Atlanta Braves","89","$87,002,692.00","10","15"
2011,"San Francisco Giants","86","$118,198,333.00","11","8"
2011,"Los Angeles Angels of Anaheim","86","$138,543,166.00","11","4"
2011,"Los Angeles Dodgers","82","$104,188,999.00","13","12"
2011,"Toronto Blue Jays","81","$62,567,800.00","14","23"
2011,"Washington Nationals","80","$63,856,928.00","15","22"
2011,"Cleveland Indians","80","$48,776,566.00","15","26"
2011,"Cincinnati Reds","79","$75,947,134.00","17","19"
2011,"Chicago White Sox","79","$127,789,000.00","17","5"
2011,"New York Mets","77","$118,847,309.00","19","7"
2011,"Oakland Athletics","74","$66,536,500.00","20","21"
2011,"Colorado Rockies","73","$88,148,071.00","21","14"
2011,"Florida Marlins","72","$56,944,000.00","22","24"
2011,"Pittsburgh Pirates","72","$45,047,000.00","22","28"
2011,"Chicago Cubs","71","$125,047,329.00","24","6"
2011,"Kansas City Royals","71","$35,712,000.00","24","30"
2011,"San Diego Padres","71","$45,869,140.00","24","27"
2011,"Baltimore Orioles","69","$85,304,038.00","27","18"
2011,"Seattle Mariners","67","$86,110,600.00","28","16"
2011,"Minnesota Twins","63","$112,737,000.00","29","9"
2011,"Houston Astros","56","$70,694,000.00","30","20"
2012,"Washington Nationals","98","$80,855,143.00","1","19"
2012,"Cincinnati Reds","97","$82,203,616.00","2","17"
2012,"New York Yankees","95","$196,522,289.00","3","1"
2012,"Atlanta Braves","94","$82,829,942.00","4","16"
2012,"Oakland Athletics","94","$55,372,500.00","4","29"
2012,"San Francisco Giants","94","$117,620,683.00","4","8"
2012,"Baltimore Orioles","93","$77,353,999.00","7","22"
2012,"Texas Rangers","93","$120,510,974.00","7","6"
2012,"Tampa Bay Rays","90","$64,173,500.00","9","25"
2012,"Los Angeles Angels of Anaheim","89","$154,485,166.00","10","4"
2012,"St. Louis Cardinals","88","$110,300,862.00","11","9"
2012,"Detroit Tigers","88","$132,300,000.00","11","5"
2012,"Los Angeles Dodgers","86","$95,143,575.00","13","12"
2012,"Chicago White Sox","85","$96,919,500.00","14","11"
2012,"Milwaukee Brewers","83","$97,653,944.00","15","10"
2012,"Philadelphia Phillies","81","$174,538,938.00","16","2"
2012,"Arizona Diamondbacks","81","$73,804,833.00","16","24"
2012,"Pittsburgh Pirates","79","$62,951,999.00","18","26"
2012,"San Diego Padres","76","$55,244,700.00","19","30"
2012,"Seattle Mariners","75","$81,978,100.00","20","18"
2012,"New York Mets","74","$93,353,983.00","21","14"
2012,"Toronto Blue Jays","73","$75,009,200.00","22","23"
2012,"Kansas City Royals","72","$60,916,225.00","23","27"
2012,"Boston Red Sox","69","$173,186,617.00","24","3"
2012,"Miami Marlins","69","$118,078,000.00","24","7"
2012,"Cleveland Indians","68","$78,430,300.00","26","20"
2012,"Minnesota Twins","66","$94,085,000.00","27","13"
2012,"Colorado Rockies","64","$78,069,571.00","28","21"
2012,"Chicago Cubs","61","$88,197,033.00","29","15"
2012,"Houston Astros","55","$60,651,000.00","30","28"
2013,"Boston Red Sox","97","$151,530,000.00","1","4"
2013,"St. Louis Cardinals","97","$92,260,110.00","1","14"
2013,"Atlanta Braves","96","$87,871,525.00","3","16"
2013,"Oakland Athletics","96","$60,132,500.00","3","26"
2013,"Pittsburgh Pirates","94","$77,062,000.00","5","19"
2013,"Detroit Tigers","93","$145,989,500.00","6","5"
2013,"Cleveland Indians","92","$75,771,800.00","7","21"
2013,"Tampa Bay Rays","92","$52,955,272.00","7","27"
2013,"Los Angeles Dodgers","92","$223,362,196.00","7","2"
2013,"Texas Rangers","91","$112,522,600.00","10","11"
2013,"Cincinnati Reds","90","$106,404,462.00","11","12"
2013,"Washington Nationals","86","$113,703,270.00","12","10"
